schema_context,column,check,check_number,failure_case,index
Column,LBSTRESN,greater_than_or_equal_to(0),0,-4.6,20451
Column,LBSTRESN,greater_than_or_equal_to(0),0,-0.8,20473
Column,LBSTRESN,greater_than_or_equal_to(0),0,-3.0,24569
Column,LBSTRESN,greater_than_or_equal_to(0),0,-4.6,24734
Column,LBSTRESN,greater_than_or_equal_to(0),0,-5.5,15226
Column,LBSTRESN,greater_than_or_equal_to(0),0,-4.6,31354
Column,LBSTRESN,greater_than_or_equal_to(0),0,-5.3,30299
Column,LBSTRESN,greater_than_or_equal_to(0),0,-2.3,30477
Column,LBSTRESN,greater_than_or_equal_to(0),0,-7.0,30564
Column,LBSTRESN,greater_than_or_equal_to(0),0,-0.2,30566
Column,LBSTRESN,greater_than_or_equal_to(0),0,-2.2,30646
Column,LBSTRESN,greater_than_or_equal_to(0),0,-5.1,30777
Column,LBSTRESN,greater_than_or_equal_to(0),0,-1.0,31055
Column,LBSTRESN,greater_than_or_equal_to(0),0,-0.9,31103
Column,LBSTRESN,greater_than_or_equal_to(0),0,-1.9,31930
Column,LBSTRESN,greater_than_or_equal_to(0),0,-0.2,29803
Column,LBSTRESN,greater_than_or_equal_to(0),0,-1.1,31958
Column,LBSTRESN,greater_than_or_equal_to(0),0,-3.5,31959
Column,LBSTRESN,greater_than_or_equal_to(0),0,-3.3,32027
Column,LBSTRESN,greater_than_or_equal_to(0),0,-0.2,32061
Column,LBSTRESN,greater_than_or_equal_to(0),0,-3.4,32102
Column,LBSTRESN,greater_than_or_equal_to(0),0,-0.9,32318
Column,LBSTRESN,greater_than_or_equal_to(0),0,-3.5,32415
Column,LBSTRESN,greater_than_or_equal_to(0),0,-10.7,32701
Column,LBSTRESN,greater_than_or_equal_to(0),0,-0.3,30093
Column,LBSTRESN,greater_than_or_equal_to(0),0,-1.7,29234
Column,LBSTRESN,greater_than_or_equal_to(0),0,-1.9,24874
Column,LBSTRESN,greater_than_or_equal_to(0),0,-8.1,27391
Column,LBSTRESN,greater_than_or_equal_to(0),0,-0.7,24936
Column,LBSTRESN,greater_than_or_equal_to(0),0,-0.4,25348
Column,LBSTRESN,greater_than_or_equal_to(0),0,-1.8,25421
Column,LBSTRESN,greater_than_or_equal_to(0),0,-2.8,26222
Column,LBSTRESN,greater_than_or_equal_to(0),0,-13.1,26312
Column,LBSTRESN,greater_than_or_equal_to(0),0,-1.5,26737
Column,LBSTRESN,greater_than_or_equal_to(0),0,-1.9,26979
Column,LBSTRESN,greater_than_or_equal_to(0),0,-4.6,27318
Column,LBSTRESN,greater_than_or_equal_to(0),0,-13.7,27441
Column,LBSTRESN,greater_than_or_equal_to(0),0,-2.7,29209
Column,LBSTRESN,greater_than_or_equal_to(0),0,-3.8,27617
Column,LBSTRESN,greater_than_or_equal_to(0),0,-0.9,28058
Column,LBSTRESN,greater_than_or_equal_to(0),0,-5.7,28169
Column,LBSTRESN,greater_than_or_equal_to(0),0,-0.1,28171
Column,LBSTRESN,greater_than_or_equal_to(0),0,-0.8,28219
Column,LBSTRESN,greater_than_or_equal_to(0),0,-2.9,28235
Column,LBSTRESN,greater_than_or_equal_to(0),0,-4.4,28499
Column,LBSTRESN,greater_than_or_equal_to(0),0,-2.2,29172
Column,LBSTRESN,greater_than_or_equal_to(0),0,-0.3,15403
Column,LBSTRESN,greater_than_or_equal_to(0),0,-6.6,15045
Column,LBSTRESN,greater_than_or_equal_to(0),0,-1.1,250
Column,LBSTRESN,greater_than_or_equal_to(0),0,-2.0,5218
Column,LBSTRESN,greater_than_or_equal_to(0),0,-0.1,3458
Column,LBSTRESN,greater_than_or_equal_to(0),0,-0.2,3472
Column,LBSTRESN,greater_than_or_equal_to(0),0,-0.4,3519
Column,LBSTRESN,greater_than_or_equal_to(0),0,-9.9,3892
Column,LBSTRESN,greater_than_or_equal_to(0),0,-3.4,3920
Column,LBSTRESN,greater_than_or_equal_to(0),0,-14.0,3981
Column,LBSTRESN,greater_than_or_equal_to(0),0,-6.3,4514
Column,LBSTRESN,greater_than_or_equal_to(0),0,-1.4,4617
Column,LBSTRESN,greater_than_or_equal_to(0),0,-4.0,5340
Column,LBSTRESN,greater_than_or_equal_to(0),0,-6.6,3343
Column,LBSTRESN,greater_than_or_equal_to(0),0,-1.1,5494
Column,LBSTRESN,greater_than_or_equal_to(0),0,-0.1,5551
Column,LBSTRESN,greater_than_or_equal_to(0),0,-5.1,5630
Column,LBSTRESN,greater_than_or_equal_to(0),0,-8.8,5659
Column,LBSTRESN,greater_than_or_equal_to(0),0,-5.5,5786
Column,LBSTRESN,greater_than_or_equal_to(0),0,-0.4,5878
Column,LBSTRESN,greater_than_or_equal_to(0),0,-2.2,6652
Column,LBSTRESN,greater_than_or_equal_to(0),0,-0.4,6678
Column,LBSTRESN,greater_than_or_equal_to(0),0,-9.0,3347
Column,LBSTRESN,greater_than_or_equal_to(0),0,-1.2,3204
Column,LBSTRESN,greater_than_or_equal_to(0),0,-4.7,6947
Column,LBSTRESN,greater_than_or_equal_to(0),0,-0.6,1874
Column,LBSTRESN,greater_than_or_equal_to(0),0,-6.1,267
Column,LBSTRESN,greater_than_or_equal_to(0),0,-7.5,486
Column,LBSTRESN,greater_than_or_equal_to(0),0,-4.7,523
Column,LBSTRESN,greater_than_or_equal_to(0),0,-0.8,612
Column,LBSTRESN,greater_than_or_equal_to(0),0,-3.3,1090
Column,LBSTRESN,greater_than_or_equal_to(0),0,-14.5,1132
Column,LBSTRESN,greater_than_or_equal_to(0),0,-6.1,1223
Column,LBSTRESN,greater_than_or_equal_to(0),0,-4.8,1244
Column,LBSTRESN,greater_than_or_equal_to(0),0,-4.0,2043
Column,LBSTRESN,greater_than_or_equal_to(0),0,-3.2,2952
Column,LBSTRESN,greater_than_or_equal_to(0),0,-8.0,2146
Column,LBSTRESN,greater_than_or_equal_to(0),0,-3.2,2382
Column,LBSTRESN,greater_than_or_equal_to(0),0,-1.2,2420
Column,LBSTRESN,greater_than_or_equal_to(0),0,-2.3,2677
Column,LBSTRESN,greater_than_or_equal_to(0),0,-13.4,2683
Column,LBSTRESN,greater_than_or_equal_to(0),0,-3.5,2754
Column,LBSTRESN,greater_than_or_equal_to(0),0,-0.1,2847
Column,LBSTRESN,greater_than_or_equal_to(0),0,-6.0,2875
Column,LBSTRESN,greater_than_or_equal_to(0),0,-7.0,6886
Column,LBSTRESN,greater_than_or_equal_to(0),0,-1.3,7111
Column,LBSTRESN,greater_than_or_equal_to(0),0,-18.8,14886
Column,LBSTRESN,greater_than_or_equal_to(0),0,-2.5,12930
Column,LBSTRESN,greater_than_or_equal_to(0),0,-15.4,11888
Column,LBSTRESN,greater_than_or_equal_to(0),0,-1.5,12212
Column,LBSTRESN,greater_than_or_equal_to(0),0,-0.7,12368
Column,LBSTRESN,greater_than_or_equal_to(0),0,-0.1,12469
Column,LBSTRESN,greater_than_or_equal_to(0),0,-0.4,12569
Column,LBSTRESN,greater_than_or_equal_to(0),0,-1.0,12590
Column,LBSTRESN,greater_than_or_equal_to(0),0,-2.9,12639
Column,LBSTRESN,greater_than_or_equal_to(0),0,-1.7,12820
Column,LBSTRESN,greater_than_or_equal_to(0),0,-14.8,13228
Column,LBSTRESN,greater_than_or_equal_to(0),0,-3.5,11124
Column,LBSTRESN,greater_than_or_equal_to(0),0,-3.5,13282
Column,LBSTRESN,greater_than_or_equal_to(0),0,-7.1,13969
Column,LBSTRESN,greater_than_or_equal_to(0),0,-0.1,14229
Column,LBSTRESN,greater_than_or_equal_to(0),0,-2.4,14420
Column,LBSTRESN,greater_than_or_equal_to(0),0,-7.1,14486
Column,LBSTRESN,greater_than_or_equal_to(0),0,-4.5,14500
Column,LBSTRESN,greater_than_or_equal_to(0),0,-2.0,14507
Column,LBSTRESN,greater_than_or_equal_to(0),0,-4.5,14825
Column,LBSTRESN,greater_than_or_equal_to(0),0,-1.0,11753
Column,LBSTRESN,greater_than_or_equal_to(0),0,-3.7,10900
Column,LBSTRESN,greater_than_or_equal_to(0),0,-6.7,7445
Column,LBSTRESN,greater_than_or_equal_to(0),0,-5.2,8789
Column,LBSTRESN,greater_than_or_equal_to(0),0,-1.9,7482
Column,LBSTRESN,greater_than_or_equal_to(0),0,-1.5,7608
Column,LBSTRESN,greater_than_or_equal_to(0),0,-0.7,8067
Column,LBSTRESN,greater_than_or_equal_to(0),0,-2.5,8318
Column,LBSTRESN,greater_than_or_equal_to(0),0,-3.4,8404
Column,LBSTRESN,greater_than_or_equal_to(0),0,-3.7,8468
Column,LBSTRESN,greater_than_or_equal_to(0),0,-0.6,8478
Column,LBSTRESN,greater_than_or_equal_to(0),0,-11.9,8554
Column,LBSTRESN,greater_than_or_equal_to(0),0,-0.8,8791
Column,LBSTRESN,greater_than_or_equal_to(0),0,-4.0,10867
Column,LBSTRESN,greater_than_or_equal_to(0),0,-2.1,9047
Column,LBSTRESN,greater_than_or_equal_to(0),0,-15.3,9191
Column,LBSTRESN,greater_than_or_equal_to(0),0,-3.0,9351
Column,LBSTRESN,greater_than_or_equal_to(0),0,-3.0,9712
Column,LBSTRESN,greater_than_or_equal_to(0),0,-0.3,9837
Column,LBSTRESN,greater_than_or_equal_to(0),0,-1.9,9873
Column,LBSTRESN,greater_than_or_equal_to(0),0,-0.1,10156
Column,LBSTRESN,greater_than_or_equal_to(0),0,-2.2,10671
Column,LBSTRESN,greater_than_or_equal_to(0),0,-0.2,32820
